,Location,Fuel_Type,Transmission,Owner_Type,Brand,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
1533,Pune,Petrol,Manual,Second,Hyundai,2014,48000,17.01,1591.0,121.3,5.0,5.2
1534,Coimbatore,Petrol,Manual,First,Honda,2019,23882,17.4,1497.0,117.3,5.0,11.87
1535,Hyderabad,Diesel,Manual,First,Honda,2014,65000,26.0,1498.0,98.6,5.0,6.99
1536,Jaipur,Diesel,Manual,First,Volkswagen,2011,50000,20.54,1598.0,103.6,5.0,5.0
1537,Chennai,Diesel,Automatic,First,Audi,2014,25000,12.19,2967.0,236.0,5.0,44.0
1538,Chennai,Petrol,Manual,First,Maruti,2015,21000,22.74,796.0,47.3,5.0,2.79
1540,Delhi,Petrol,Manual,First,Hyundai,2016,68000,15.29,1591.0,121.3,5.0,9.85
1541,Bangalore,Diesel,Automatic,First,Mercedes-Benz,2014,52000,12.0,2987.0,224.0,7.0,49.0
1542,Jaipur,Diesel,Manual,First,Mahindra,2016,19000,16.55,2498.0,105.0,6.0,9.25
1543,Mumbai,Diesel,Manual,Second,Hyundai,2011,74000,22.32,1582.0,126.3,5.0,3.75
1544,Coimbatore,Diesel,Manual,First,Ford,2017,30279,26.1,1498.0,99.0,5.0,7.29
1545,Mumbai,Diesel,Automatic,First,Mini,2016,20000,20.7,1496.0,113.98,4.0,23.5
1546,Hyderabad,Petrol,Manual,First,Maruti,2013,34834,14.0,796.0,35.0,5.0,2.6
1547,Pune,Diesel,Manual,Second,Mahindra,2015,90000,21.03,1461.0,65.0,5.0,3.1
1548,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2016,38730,14.21,2143.0,203.0,5.0,29.98
1549,Kochi,Diesel,Manual,First,Renault,2016,57390,19.01,1461.0,108.45,5.0,6.73
1550,Kolkata,Diesel,Manual,First,Maruti,2016,100000,23.4,1248.0,74.0,5.0,3.5
1551,Kolkata,Petrol,Manual,First,Volkswagen,2011,50000,16.47,1198.0,73.9,5.0,2.35
1552,Coimbatore,Diesel,Manual,First,Mahindra,2017,64961,16.0,2179.0,140.0,7.0,16.13
1553,Coimbatore,Petrol,Manual,First,Volkswagen,2014,72465,16.47,1198.0,74.0,5.0,5.9
1554,Hyderabad,Petrol,Manual,First,Maruti,2012,68776,21.1,1197.0,85.8,5.0,3.9
1556,Delhi,Diesel,Manual,First,Toyota,2012,68000,12.8,2494.0,102.0,7.0,6.95
1557,Delhi,Diesel,Manual,First,Honda,2015,33000,26.0,1498.0,98.6,5.0,7.0
1558,Coimbatore,Petrol,Manual,First,Volkswagen,2017,22389,17.0,1198.0,73.75,5.0,7.23
1559,Mumbai,Diesel,Manual,First,Maruti,2012,90000,21.5,1248.0,88.8,5.0,3.81
1560,Chennai,Petrol,Manual,Third,Maruti,2012,42000,18.6,1197.0,85.8,5.0,4.5
1561,Pune,Diesel,Manual,First,Hyundai,2017,38767,19.67,1582.0,126.2,5.0,12.6
1562,Bangalore,Diesel,Automatic,First,Audi,2015,21000,12.07,2967.0,241.4,7.0,48.0
1563,Coimbatore,Petrol,Manual,First,Maruti,2010,59136,19.7,796.0,46.3,5.0,2.96
1564,Kolkata,Diesel,Manual,First,Honda,2014,36000,25.8,1498.0,98.6,5.0,3.25
1565,Chennai,Diesel,Automatic,Second,Volkswagen,2011,95000,18.33,1968.0,167.7,5.0,8.5
1566,Mumbai,Diesel,Automatic,First,Hyundai,2013,51000,19.5,1582.0,126.24,5.0,8.75
1567,Kochi,Petrol,Manual,First,Maruti,2011,36411,18.9,998.0,67.1,5.0,3.08
1568,Mumbai,Diesel,Automatic,First,Land,2017,40000,12.81,1999.0,148.31,7.0,41.5
1569,Pune,Petrol,Manual,First,Honda,2016,27300,17.8,1497.0,117.3,5.0,7.0
1570,Kochi,Petrol,Automatic,Second,Mercedes-Benz,2011,29813,14.74,1991.0,181.03,5.0,11.5
1571,Pune,Petrol,Manual,First,Maruti,2011,71000,20.51,998.0,67.04,5.0,2.6
1572,Kolkata,Diesel,Manual,First,Hyundai,2014,32000,22.32,1582.0,126.3,5.0,4.3
1573,Mumbai,CNG,Manual,First,Maruti,2017,19234,17.5,1373.0,80.46,7.0,8.35
1574,Jaipur,Diesel,Automatic,First,Volkswagen,2017,50510,17.06,1968.0,141.0,5.0,24.9
1576,Kolkata,Diesel,Manual,First,Hyundai,2014,42277,24.0,1186.0,73.97,5.0,3.85
1577,Mumbai,Diesel,Automatic,First,Mercedes-Benz,2014,46000,13.0,2143.0,201.1,5.0,23.25
1578,Chennai,Diesel,Manual,First,Mahindra,2012,35000,13.6,2523.0,113.0,7.0,7.0
1579,Bangalore,Petrol,Manual,First,Hyundai,2015,50000,18.9,1197.0,82.0,5.0,5.75
1580,Mumbai,Petrol,Manual,Second,Hyundai,2008,62000,20.36,1197.0,78.9,5.0,1.65
1581,Mumbai,Diesel,Manual,First,Volkswagen,2012,78000,19.33,1968.0,138.1,5.0,6.5
1582,Chennai,Diesel,Manual,First,Skoda,2011,79000,17.67,1968.0,138.08,5.0,7.5
1583,Kochi,Diesel,Automatic,First,Audi,2019,6773,14.75,2967.0,245.0,7.0,72.94
1585,Kochi,Petrol,Manual,First,Maruti,2013,36716,18.9,1061.0,67.0,5.0,3.02
1586,Coimbatore,Petrol,Manual,First,Hyundai,2013,65060,21.1,814.0,55.2,5.0,3.32
1587,Delhi,Petrol,Manual,First,Honda,2013,33000,19.4,1198.0,86.8,5.0,3.24
1588,Kolkata,Petrol,Manual,First,Maruti,2015,11110,22.74,796.0,47.3,5.0,2.35
1589,Jaipur,Diesel,Manual,First,Mahindra,2013,63000,15.96,2523.0,62.1,7.0,5.5
1590,Mumbai,Petrol,Manual,First,Honda,2015,27030,17.8,1497.0,117.3,5.0,6.75
1591,Mumbai,Petrol,Manual,First,Skoda,2015,19600,15.0,1598.0,103.52,5.0,6.15
1592,Pune,Petrol,Manual,First,Maruti,2016,27755,22.0,1197.0,81.8,5.0,5.45
1593,Hyderabad,Petrol,Manual,Second,Hyundai,2013,20000,21.1,814.0,55.2,5.0,2.3
1594,Kochi,Petrol,Manual,First,Maruti,2015,24782,20.85,1197.0,83.14,5.0,6.21
1595,Coimbatore,Petrol,Automatic,First,Nissan,2014,47303,19.34,1198.0,76.0,5.0,5.21
1596,Delhi,Petrol,Automatic,First,Audi,2008,71000,8.3,4134.0,250.0,7.0,11.99
1598,Jaipur,Diesel,Manual,First,Tata,2017,1000,13.49,2179.0,138.03,5.0,7.5
1599,Kolkata,Diesel,Manual,First,Volkswagen,2016,29000,20.14,1498.0,88.8,5.0,4.0
1600,Kochi,Petrol,Manual,First,Honda,2016,36367,17.8,1497.0,117.3,5.0,7.73
1601,Bangalore,Petrol,Manual,First,Honda,2015,38000,17.4,1497.0,117.3,5.0,7.8
1602,Hyderabad,Petrol,Manual,First,Maruti,2011,83969,16.1,796.0,37.0,4.0,1.3
1603,Jaipur,Diesel,Manual,First,Volkswagen,2014,82621,20.14,1498.0,88.8,5.0,4.42
1604,Pune,Diesel,Automatic,First,Chevrolet,2009,89000,12.5,1991.0,147.9,7.0,4.0
1605,Kolkata,Diesel,Manual,First,Mahindra,2016,54000,16.0,2179.0,140.0,7.0,13.0
1606,Kochi,Diesel,Manual,First,Honda,2015,61691,25.8,1498.0,98.6,5.0,5.38
1607,Chennai,Petrol,Manual,Second,Hyundai,2011,32200,17.0,1197.0,80.0,5.0,3.25
1608,Jaipur,Petrol,Automatic,First,Maruti,2016,68630,20.51,998.0,67.0,5.0,3.87
1609,Mumbai,Diesel,Automatic,Second,Volkswagen,2014,61000,16.96,1968.0,138.03,5.0,8.25
1610,Mumbai,Petrol,Manual,First,Maruti,2018,32644,20.73,1373.0,91.1,5.0,9.28
1611,Delhi,Diesel,Automatic,First,Mahindra,2012,85000,11.79,2179.0,120.0,7.0,6.25
1612,Mumbai,Petrol,Manual,Second,Chevrolet,2008,75000,15.26,1150.0,74.9,5.0,1.15
1613,Kochi,Petrol,Manual,First,Maruti,2016,40347,20.73,1373.0,91.2,5.0,7.8
1614,Hyderabad,Diesel,Manual,First,Hyundai,2012,60788,23.0,1396.0,90.0,5.0,4.5
1615,Kochi,Petrol,Manual,First,Honda,2018,18664,18.7,1199.0,88.7,5.0,7.56
1616,Coimbatore,Diesel,Manual,First,Mahindra,2017,57847,16.0,2179.0,140.0,7.0,16.08
1617,Bangalore,Petrol,Manual,First,Hyundai,2012,52237,17.0,1197.0,80.0,5.0,4.5
1619,Delhi,Petrol,Manual,First,Hyundai,2011,54000,19.81,1086.0,68.05,5.0,2.2
1620,Bangalore,Petrol,Automatic,First,Maruti,2014,49800,23.1,998.0,67.04,5.0,4.0
1621,Kolkata,Diesel,Manual,First,Skoda,2012,98000,20.86,1199.0,73.9,5.0,2.51
1622,Delhi,Diesel,Manual,First,Maruti,2015,60095,25.2,1248.0,74.0,5.0,4.75
1623,Pune,Petrol,Manual,Second,Hyundai,2008,68000,16.0,1086.0,66.7,5.0,2.0
1624,Jaipur,Petrol,Manual,Second,Hyundai,2010,81402,20.36,1197.0,78.9,5.0,2.1
1625,Mumbai,Petrol,Automatic,First,Ford,2013,38000,16.5,1499.0,110.0,5.0,6.25
1626,Kochi,Diesel,Automatic,Second,Mercedes-Benz,2011,92239,11.5,2987.0,210.0,5.0,10.6
1627,Ahmedabad,Diesel,Manual,First,Maruti,2017,49224,25.2,1248.0,74.0,5.0,6.0
1628,Jaipur,Petrol,Manual,Second,Maruti,2004,12000,16.1,796.0,37.0,4.0,0.45
1629,Pune,Petrol,Manual,Third,Maruti,2010,54898,16.1,1298.0,88.2,5.0,2.5
1630,Mumbai,Petrol,Manual,First,Hyundai,2018,2500,15.29,1591.0,121.3,5.0,12.75
1631,Kochi,Diesel,Automatic,First,BMW,2017,32838,17.05,1995.0,190.0,5.0,30.29
1632,Hyderabad,Petrol,Manual,First,Ford,2006,27076,13.8,1299.0,70.0,5.0,1.6
1633,Kochi,Diesel,Manual,First,Ford,2017,75445,22.7,1498.0,89.84,5.0,7.54
1634,Kochi,Petrol,Manual,First,Maruti,2015,46601,20.73,1373.0,91.1,5.0,6.84
1635,Kolkata,Diesel,Automatic,First,Volkswagen,2012,72000,18.33,1968.0,167.7,5.0,6.0
1636,Pune,Diesel,Manual,First,Honda,2017,27000,27.3,1498.0,98.6,5.0,8.0
1637,Coimbatore,Diesel,Automatic,First,Audi,2016,68193,17.11,1968.0,174.33,5.0,24.74
1638,Kochi,Diesel,Manual,First,Hyundai,2017,34429,24.0,1120.0,70.0,5.0,5.5
1639,Delhi,Diesel,Automatic,First,Mercedes-Benz,2013,46000,12.0,2987.0,224.0,7.0,36.0
1640,Coimbatore,Diesel,Manual,First,Toyota,2013,80544,12.99,2494.0,100.6,7.0,11.79
1641,Jaipur,Petrol,Manual,Second,Nissan,2011,42000,16.95,1498.0,97.7,5.0,3.0
1642,Bangalore,Diesel,Automatic,Second,Skoda,2011,94821,20.0,1968.0,138.1,5.0,6.75
1643,Jaipur,Petrol,Manual,First,Chevrolet,2006,100000,14.49,1399.0,92.7,5.0,1.4
1644,Mumbai,Diesel,Manual,First,Honda,2014,57000,24.2,1498.0,98.6,7.0,5.75
1645,Hyderabad,Diesel,Manual,First,Maruti,2010,79894,21.1,1248.0,73.9,5.0,3.4
1646,Coimbatore,Petrol,Manual,Second,Volkswagen,2011,44748,16.47,1198.0,73.9,5.0,4.89
1647,Mumbai,Petrol,Manual,First,Nissan,2013,31000,13.24,1598.0,102.5,5.0,4.95
1648,Coimbatore,Petrol,Automatic,Second,Maruti,2013,60587,16.98,998.0,66.1,5.0,3.49
1649,Pune,Diesel,Manual,First,Toyota,2011,32000,23.59,1364.0,113.0,5.0,3.85
1650,Pune,Petrol,Manual,First,Honda,2014,43772,17.0,1497.0,118.0,5.0,6.35
1651,Coimbatore,Petrol,Automatic,First,Hyundai,2017,23576,18.9,1197.0,82.0,5.0,7.08
1652,Hyderabad,Diesel,Automatic,First,Jaguar,2017,4000,13.6,1999.0,177.0,5.0,38.0
1653,Kolkata,Diesel,Manual,First,Mahindra,2012,62000,12.05,2179.0,120.0,8.0,6.25
1654,Mumbai,Petrol,Automatic,First,Mercedes-Benz,2011,36000,11.74,1796.0,186.0,5.0,10.15
1655,Delhi,Petrol,Automatic,First,Skoda,2014,80000,13.7,1798.0,157.75,5.0,10.75
1657,Delhi,Diesel,Manual,First,Mahindra,2010,61001,12.05,2179.0,120.0,8.0,4.75
1658,Coimbatore,Petrol,Manual,First,Hyundai,2015,52191,17.1,1591.0,121.3,5.0,7.78
1659,Hyderabad,Diesel,Manual,First,Hyundai,2016,77076,23.0,1396.0,90.0,5.0,6.75
1660,Hyderabad,Petrol,Automatic,First,Honda,2008,56000,16.4,1497.0,78.0,5.0,2.99
1661,Kolkata,Petrol,Manual,First,Hyundai,2013,21000,20.36,1197.0,78.9,5.0,2.35
1662,Delhi,Diesel,Manual,First,Honda,2013,89429,25.8,1498.0,98.6,5.0,3.65
1663,Delhi,Petrol,Manual,Second,Maruti,2012,45631,22.5,998.0,67.04,5.0,2.74
1664,Jaipur,Petrol,Manual,First,Honda,2013,53959,19.4,1198.0,86.8,5.0,3.5
1665,Kochi,Petrol,Manual,First,Hyundai,2014,55804,17.0,1197.0,80.0,5.0,4.76
1666,Kochi,Petrol,Manual,First,Volkswagen,2016,25899,15.04,1598.0,103.2,5.0,6.2
1667,Pune,Diesel,Manual,Second,Skoda,2008,82000,18.7,1896.0,66.0,5.0,2.35
1668,Mumbai,Diesel,Automatic,First,Mercedes-Benz,2014,52000,13.0,2143.0,204.0,5.0,24.5
1669,Pune,Petrol,Manual,First,Renault,2013,20000,13.24,1598.0,102.57,5.0,6.0
1670,Hyderabad,Petrol,Manual,First,Hyundai,2017,31829,21.1,814.0,55.2,5.0,3.65
1671,Coimbatore,Petrol,Manual,Second,Maruti,2016,18094,18.6,1197.0,85.8,5.0,6.26
1672,Jaipur,Diesel,Manual,Second,Nissan,2011,80000,19.5,1461.0,113.0,5.0,2.1
1673,Mumbai,Diesel,Automatic,First,Audi,2015,11964,13.22,2967.0,241.4,5.0,32.95
1674,Coimbatore,Petrol,Manual,First,Hyundai,2018,22684,18.6,1197.0,81.83,5.0,7.8
1675,Bangalore,Petrol,Manual,First,Honda,2014,43521,19.4,1198.0,86.8,5.0,4.25
1676,Kochi,Petrol,Manual,First,Maruti,2014,49386,17.5,1298.0,85.8,5.0,4.86
1677,Delhi,Petrol,Manual,First,Hyundai,2017,12248,18.9,1197.0,81.86,5.0,4.9
1678,Coimbatore,Diesel,Manual,First,Mahindra,2014,67771,11.68,2498.0,112.0,8.0,7.06
1679,Delhi,Petrol,Automatic,First,Volkswagen,2015,60007,17.21,1798.0,189.0,4.0,4.5
1680,Coimbatore,Petrol,Manual,First,Maruti,2011,48624,24.07,998.0,67.1,5.0,3.22
1681,Kolkata,Diesel,Manual,First,Volkswagen,2014,30000,22.07,1199.0,73.9,5.0,3.25
1682,Delhi,Petrol,Manual,First,Hyundai,2016,81605,18.9,1197.0,82.0,5.0,4.53
1683,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2017,32642,14.84,2143.0,170.0,5.0,34.78
1684,Pune,Petrol,Automatic,First,Hyundai,2014,34200,15.74,1591.0,121.3,5.0,6.5
1685,Chennai,Petrol,Manual,First,Fiat,2010,72204,15.7,1172.0,67.0,5.0,2.25
1687,Kochi,Diesel,Automatic,First,Mahindra,2017,47357,18.49,1493.0,100.0,7.0,8.37
1688,Coimbatore,Diesel,Manual,First,Volkswagen,2015,61738,20.14,1498.0,88.8,5.0,5.39
1689,Kochi,Diesel,Automatic,First,BMW,2018,32586,22.48,1995.0,190.0,5.0,37.3
1690,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2018,40129,11.57,2987.0,254.79,5.0,70.8
1691,Mumbai,Diesel,Automatic,First,Mercedes-Benz,2012,51000,11.74,2987.0,254.8,5.0,22.25
1692,Kochi,Petrol,Manual,First,Hyundai,2018,10393,18.9,1197.0,81.86,5.0,6.03
1693,Mumbai,Petrol,Automatic,First,Skoda,2011,46000,13.7,1798.0,157.75,5.0,4.9
1694,Chennai,Petrol,Automatic,First,Hyundai,2013,21000,16.95,1197.0,78.9,5.0,3.96
1697,Mumbai,Petrol,Manual,First,Honda,2013,63107,19.4,1198.0,86.8,5.0,3.25
1698,Jaipur,Petrol,Manual,First,Hyundai,2017,58500,18.6,1197.0,81.83,5.0,6.25
1699,Pune,Diesel,Manual,Fourth & Above,Ford,2007,90000,10.9,2499.0,143.0,7.0,3.0
1702,Pune,Diesel,Automatic,Second,BMW,2011,62943,17.05,1995.0,184.0,5.0,10.95
1703,Delhi,Diesel,Automatic,First,Toyota,2013,65000,12.55,2982.0,168.5,7.0,16.5
1704,Pune,Petrol,Automatic,First,Honda,2018,1700,19.0,1199.0,88.76,5.0,7.8
1705,Kochi,Petrol,Manual,First,Hyundai,2013,34697,19.81,1086.0,68.05,5.0,3.7
1706,Hyderabad,Petrol,Manual,First,Hyundai,2012,58000,17.0,1197.0,80.0,5.0,4.0
1707,Mumbai,Diesel,Automatic,First,BMW,2015,32500,19.59,1995.0,187.74,5.0,26.75
1708,Coimbatore,Diesel,Automatic,First,Audi,2016,58661,15.17,1968.0,181.0,5.0,28.03
1709,Kochi,Petrol,Manual,First,Maruti,2017,37124,20.4,1197.0,81.8,5.0,5.44
1710,Delhi,Petrol,Automatic,First,Maruti,2017,44000,21.4,1197.0,83.1,5.0,6.2
1711,Kolkata,Petrol,Manual,First,Hyundai,2005,45200,13.2,1495.0,94.0,5.0,0.9
1712,Mumbai,Petrol,Manual,First,Maruti,2016,11000,18.5,1197.0,85.8,5.0,3.95
1713,Pune,Petrol,Manual,Second,Tata,2011,65000,26.0,624.0,35.0,4.0,0.44
1714,Ahmedabad,Diesel,Manual,First,Ford,2012,55005,20.0,1399.0,68.0,5.0,2.75
1715,Hyderabad,Diesel,Automatic,First,Volkswagen,2011,81650,18.33,1968.0,167.7,5.0,7.5
1718,Hyderabad,Petrol,Manual,First,Maruti,2013,67263,18.9,998.0,67.1,5.0,3.6
1719,Kochi,Petrol,Manual,First,Toyota,2012,44223,17.6,1496.0,88.7,5.0,3.99
1720,Coimbatore,Petrol,Manual,First,Hyundai,2015,36840,18.9,1197.0,82.0,5.0,5.64
1723,Mumbai,Diesel,Automatic,First,BMW,2015,69123,18.88,1995.0,184.0,5.0,19.0
1724,Delhi,Diesel,Automatic,First,Ford,2017,38000,10.91,3198.0,197.0,7.0,30.48
1725,Mumbai,Petrol,Manual,First,Maruti,2017,5500,21.56,1462.0,103.25,5.0,8.2
1726,Kolkata,Diesel,Manual,First,Ford,2015,1001,25.83,1498.0,99.0,5.0,7.55
1727,Pune,Petrol,Manual,Third,Chevrolet,2007,59000,15.26,1150.0,74.9,5.0,0.99
1728,Delhi,Petrol,Automatic,First,Honda,2011,78256,16.8,1497.0,118.0,5.0,4.15
1729,Chennai,Petrol,Manual,First,Nissan,2016,90000,16.95,1498.0,97.6,5.0,6.2
1730,Kolkata,Petrol,Manual,First,Maruti,2016,18000,19.1,1197.0,85.8,5.0,4.4
1731,Kolkata,Diesel,Manual,First,Ford,2012,60000,20.0,1399.0,68.0,5.0,2.1
1733,Coimbatore,Petrol,Manual,First,Hyundai,2018,32851,18.6,1197.0,81.86,5.0,8.34
1734,Kolkata,Diesel,Manual,First,Maruti,2014,32000,23.4,1248.0,74.0,5.0,4.35
1735,Hyderabad,Diesel,Manual,First,Ford,2014,62700,22.7,1498.0,89.84,5.0,6.8
1736,Jaipur,Diesel,Manual,First,Maruti,2010,71000,19.3,1248.0,73.9,5.0,3.3
1737,Kochi,Petrol,Manual,First,Hyundai,2016,19947,18.9,1197.0,82.0,5.0,5.04
1738,Hyderabad,Diesel,Automatic,First,Ford,2012,91000,11.4,2953.0,153.86,7.0,9.2
1739,Hyderabad,Diesel,Manual,First,Volkswagen,2014,74000,22.07,1199.0,73.9,5.0,5.7
1740,Kochi,Diesel,Manual,First,Mahindra,2018,55594,18.49,1493.0,100.0,7.0,8.48
1741,Hyderabad,Diesel,Automatic,First,BMW,2013,58000,11.2,2993.0,306.0,4.0,48.0
1743,Ahmedabad,Petrol,Manual,First,Maruti,2010,21002,22.5,998.0,67.04,5.0,2.75
1745,Jaipur,Petrol,Manual,First,Maruti,2010,73513,19.7,796.0,46.3,5.0,1.85
1746,Jaipur,Petrol,Automatic,First,Maruti,2015,34000,20.51,998.0,67.0,5.0,3.85
1747,Coimbatore,Petrol,Manual,First,Maruti,2017,28371,15.1,1196.0,73.0,7.0,4.74
1748,Kochi,Diesel,Manual,First,Renault,2013,74755,19.6,1461.0,108.45,5.0,5.63
1749,Kochi,Petrol,Manual,First,Maruti,2011,25805,18.2,1061.0,64.0,5.0,2.62
1750,Kochi,Petrol,Manual,First,Renault,2015,82603,13.06,1598.0,102.53,5.0,4.9
1752,Delhi,Diesel,Manual,First,Mahindra,2012,88000,16.0,2179.0,140.0,7.0,5.99
1754,Delhi,Petrol,Manual,First,Renault,2017,15000,21.7,999.0,67.0,5.0,4.25
1755,Mumbai,Diesel,Automatic,First,Porsche,2013,70000,15.15,2967.0,240.0,5.0,40.0
1757,Hyderabad,Petrol,Manual,First,Datsun,2016,19000,20.63,1198.0,67.0,5.0,2.99
1758,Chennai,Petrol,Manual,First,Hyundai,2011,37442,18.5,1197.0,80.0,5.0,3.4
1759,Coimbatore,Diesel,Automatic,Second,BMW,2016,63111,18.12,1995.0,190.0,5.0,30.8
1760,Mumbai,Diesel,Manual,First,Maruti,2012,88000,20.77,1248.0,88.8,7.0,5.85
1761,Jaipur,Petrol,Manual,First,Hyundai,2014,42355,18.9,1197.0,82.0,5.0,4.0
1762,Coimbatore,Petrol,Automatic,First,BMW,2011,75871,9.43,2996.0,254.0,5.0,14.12
1763,Mumbai,Diesel,Manual,First,Chevrolet,2011,65000,17.9,1998.0,163.7,5.0,4.55
1764,Pune,Diesel,Automatic,First,Mercedes-Benz,2015,69000,0.0,2987.0,165.0,5.0,38.0
1765,Jaipur,Diesel,Manual,First,Maruti,2011,79232,21.1,1248.0,73.9,5.0,2.9
1767,Kochi,Petrol,Manual,First,Hyundai,2016,28470,18.6,1197.0,81.83,5.0,6.95
1768,Kolkata,Petrol,Manual,First,Hyundai,2014,9759,20.3,998.0,68.05,5.0,2.75
1769,Pune,Diesel,Manual,First,Maruti,2014,75216,22.9,1248.0,74.0,5.0,5.1
1770,Chennai,Petrol,Manual,First,Hyundai,2017,8000,18.6,1197.0,81.83,5.0,6.75
1771,Mumbai,Petrol,Manual,First,Maruti,2014,59451,18.5,1197.0,85.8,5.0,3.69
1772,Hyderabad,Diesel,Manual,First,Maruti,2013,53996,22.9,1248.0,74.0,5.0,5.45
1773,Kochi,Petrol,Manual,First,Honda,2018,15135,17.5,1199.0,88.7,5.0,9.29
1774,Chennai,Petrol,Automatic,Second,Hyundai,2015,53000,16.9,1197.0,81.86,5.0,4.0
1775,Kolkata,Petrol,Manual,First,Honda,2013,40000,18.0,1198.0,86.7,5.0,2.9
1776,Pune,Petrol,Manual,First,Hyundai,2013,21107,17.1,1591.0,121.3,5.0,5.25
1777,Mumbai,Petrol,Manual,First,Honda,2014,56000,16.8,1497.0,116.3,5.0,5.75
1778,Coimbatore,Petrol,Manual,First,Hyundai,2017,19623,15.29,1591.0,121.3,5.0,13.12
1779,Kochi,Diesel,Manual,First,Mahindra,2014,70963,15.1,2179.0,140.0,7.0,7.83
1780,Mumbai,CNG,Manual,First,Maruti,2013,25755,26.6,998.0,58.16,5.0,3.15
1781,Mumbai,Diesel,Manual,First,Toyota,2013,51450,12.8,2494.0,102.0,7.0,10.4
1782,Pune,Diesel,Manual,First,Maruti,2012,75000,22.9,1248.0,74.0,5.0,4.35
1783,Coimbatore,Petrol,Automatic,First,Maruti,2017,37832,22.5,998.0,67.0,5.0,5.23
1784,Coimbatore,Petrol,Manual,First,Hyundai,2016,43041,18.9,1197.0,81.86,5.0,6.01
1785,Hyderabad,Diesel,Manual,First,Honda,2014,97236,25.8,1498.0,98.6,5.0,4.4
1786,Chennai,Diesel,Automatic,First,BMW,2010,83000,16.07,1995.0,181.0,5.0,12.75
1787,Delhi,Petrol,Manual,First,Ford,2011,65000,15.6,1196.0,70.0,5.0,2.4
1788,Kochi,Petrol,Manual,First,Volkswagen,2018,46007,17.0,1198.0,73.75,5.0,5.71
1789,Kochi,Diesel,Manual,Second,Ford,2015,65925,22.7,1498.0,89.84,5.0,5.49
1790,Pune,Petrol,Manual,Second,Honda,2004,73500,13.0,1343.0,90.0,5.0,1.3
1791,Kolkata,Diesel,Manual,First,Mahindra,2014,55000,16.0,2179.0,140.0,7.0,8.5
1793,Kolkata,Petrol,Manual,First,Hyundai,2017,31184,18.9,1197.0,81.86,5.0,5.0
1794,Pune,Diesel,Automatic,First,Maruti,2017,41747,28.4,1248.0,73.75,5.0,9.0
1795,Kochi,Diesel,Manual,First,Maruti,2016,38143,22.9,1248.0,74.0,5.0,5.22
1796,Pune,Petrol,Manual,First,Volkswagen,2012,19030,16.47,1198.0,73.9,5.0,3.8
1797,Coimbatore,Petrol,Manual,First,Toyota,2019,20877,18.16,1197.0,78.9,5.0,7.27
1798,Mumbai,Petrol,Manual,First,Maruti,2016,23555,22.0,1197.0,81.8,5.0,5.1
1799,Bangalore,Diesel,Automatic,First,Mercedes-Benz,2013,29000,14.21,2143.0,203.0,5.0,29.0
1800,Pune,Petrol,Manual,First,Maruti,2013,61000,18.9,998.0,67.1,5.0,2.9
1801,Kochi,Petrol,Manual,First,Tata,2012,4187,26.0,624.0,35.0,4.0,1.38
1802,Bangalore,Petrol,Manual,First,Skoda,2011,46000,13.4,1798.0,157.8,5.0,5.5
1803,Mumbai,Petrol,Automatic,First,Volkswagen,2016,28000,17.21,1197.0,103.5,5.0,7.25
1804,Coimbatore,Diesel,Manual,First,Hyundai,2014,83558,22.32,1582.0,126.32,5.0,6.98
1805,Hyderabad,Diesel,Manual,First,Tata,2017,40000,22.95,1248.0,74.0,5.0,5.25
1806,Kolkata,Petrol,Manual,First,Hyundai,2013,36000,21.1,814.0,55.2,5.0,1.95
1807,Bangalore,Diesel,Automatic,First,Audi,2014,21000,17.11,1968.0,174.33,5.0,24.5
1808,Kochi,Diesel,Manual,First,Toyota,2013,62162,12.99,2494.0,100.0,7.0,8.31
1809,Hyderabad,Diesel,Automatic,First,Mercedes-Benz,2012,83000,11.74,2987.0,254.8,5.0,36.0
1810,Pune,Diesel,Manual,First,Hyundai,2015,58000,24.4,1120.0,71.0,5.0,5.5
1811,Kochi,Petrol,Automatic,First,Honda,2011,62332,11.7,2354.0,177.6,5.0,5.89
1812,Kochi,Diesel,Manual,First,Volkswagen,2016,50867,20.34,1498.0,103.2,5.0,7.95
1813,Mumbai,Petrol,Manual,First,Hyundai,2010,73000,17.0,1197.0,80.0,5.0,2.75
1814,Jaipur,Diesel,Manual,First,Hyundai,2012,98008,22.7,1582.0,126.24,5.0,6.25
1815,Hyderabad,Diesel,Manual,First,Ford,2015,36000,20.0,1399.0,68.05,5.0,4.95
1816,Kochi,Petrol,Manual,First,Hyundai,2019,27339,18.6,1197.0,81.83,5.0,6.27
1817,Kolkata,Diesel,Manual,First,Hyundai,2017,25000,23.9,1582.0,126.2,5.0,8.65
1818,Kolkata,Petrol,Manual,First,Hyundai,2014,37000,18.9,1197.0,82.0,5.0,3.5
1819,Hyderabad,Diesel,Automatic,First,Audi,2015,56000,14.16,1968.0,174.3,5.0,35.0
1820,Kolkata,Petrol,Manual,First,Maruti,2015,27000,17.5,1298.0,85.8,5.0,4.45
1821,Kolkata,Petrol,Manual,First,Hyundai,2012,37000,18.5,1197.0,80.0,5.0,2.65
